rank,symbol,price,day_close,percent_change,gradient_full,gradient_recent,gradient_change,volume,volume_change,trades,trades_change,timestamp
1,SOUN,12.11,10.72,12.129629629629617,6.064814814814809,12.96641791044775,-0.8395522388059682,93250,-92870,523,-17,2025-08-07T21:10:38.09741912Z
2,MRM,2.12,1.2,66.92913385826772,33.46456692913386,76.66666666666669,7.500000000000028,28688,398,240,37,2025-08-07T21:10:40.627987719Z
3,IXHL,0.5103,0.4625,47.913043478260875,23.956521739130437,10.335135135135125,4.648648648648641,123129,89014,201,130,2025-08-07T21:10:40.6318758Z
4,FIIG,21.09,21.09,0.0,0.0,0.0,0.0,7884,0,172,0,2025-08-07T20:10:00.002547715Z
5,RKLB,42.6904,44.21,-3.1963718820861784,-1.5981859410430892,-3.4372313956118616,-0.2252883962904373,5546,-11001,169,-152,2025-08-07T21:10:34.967185087Z
6,IOVA,1.77,2.64,-31.3953488372093,-15.69767441860465,-32.95454545454546,-1.5151515151515227,187907,150945,167,96,2025-08-07T21:10:40.588133618Z
7,TWLO,109.0001,122.39,-16.295423130087542,-8.147711565043771,-10.940354604134322,0.24519977122313996,13267,-2226,167,7,2025-08-07T21:10:31.330321235Z
8,AAPL,220.0956,220.03,3.2101289566236764,1.6050644783118382,0.029814116256869166,0.029814116256869166,15910,15910,163,163,2025-08-07T21:10:12.182864388Z
9,TTD,64.98,88.33,-27.46148693904889,-13.730743469524445,-26.434959809804138,-0.24906600249066102,12603,-36784,151,-323,2025-08-07T21:10:39.158179943Z
10,LIN,469.43,469.43,-0.4348010520064502,-0.2174005260032251,0.0,0.0,205068,0,97,0,2025-08-07T20:00:09.331943933Z
11,PREF,18.88,18.88,-0.10582010582010357,-0.05291005291005178,0.0,0.0,14902,0,93,0,2025-08-07T20:10:00.002776087Z
12,BKNG,5432.1,5432.1,-1.8823006659670436,-0.9411503329835218,0.0,0.0,39768,0,88,0,2025-08-07T20:00:02.512396008Z
13,CLIK,0.448,0.369,32.153392330383475,16.076696165191738,21.409214092140928,5.17615176151762,54021,25275,88,8,2025-08-07T21:10:32.18113067Z
14,CTSH,69.12,69.12,-2.4968260685569135,-1.2484130342784567,0.0,0.0,801346,0,87,0,2025-08-07T20:00:10.130916646Z
15,BLK,1112.83,1112.83,-0.6880611133917608,-0.3440305566958804,0.0,0.0,64212,0,85,0,2025-08-07T20:10:00.003933475Z
16,LLY,644.3,640.86,-13.675522863995077,-6.837761431997539,0.5367787036170054,-0.031208064163786964,844,399,85,24,2025-08-07T21:07:33.023293228Z
17,MAR,260.59,260.59,-0.8069734688439743,-0.4034867344219871,0.0,0.0,224628,0,85,0,2025-08-07T20:00:08.988344133Z
18,NFLX,1182.5,1180.37,0.34111737152942617,0.17055868576471309,0.18045189220330146,0.0,775,0,84,0,2025-08-07T21:06:56.28097076Z
19,CGSD,25.97,25.97,0.03852080123265798,0.01926040061632899,0.0,0.0,23413,0,83,0,2025-08-07T20:10:00.002511893Z
20,IDXX,650.06,650.06,4.1445713644883595,2.0722856822441797,0.0,0.0,95239,0,82,0,2025-08-07T20:00:00.461465273Z
21,REGN,559.8,559.8,0.8412443932051878,0.4206221966025939,0.0,0.0,94608,0,81,0,2025-08-07T20:00:08.654766662Z
22,TSLA,321.3423,322.27,0.4477196711575124,0.2238598355787562,-0.2878642132373348,-0.058243088093818784,2634,-4085,81,-79,2025-08-07T21:10:32.809786549Z
23,AFL,102.28,102.28,-0.02932264685759079,-0.014661323428795395,0.0,0.0,733187,0,80,0,2025-08-07T20:10:00.002244011Z
24,SEZL,107.5,139.33,-24.51372796854153,-12.256863984270765,-22.845044139811964,0.4306323117777886,5785,1092,79,-7,2025-08-07T21:10:38.189175381Z
25,BSCR,19.695,19.695,0.0,0.0,0.0,0.0,25499,0,78,0,2025-08-07T20:00:00.399538166Z
